ID,type,path_to_file,begin_line,link_to_comment,comment,non-information
FR587,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/TextInputControlBehavior.java,151,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/TextInputControlBehavior.java#L151,@implNote taken from {@link com.sun.javafx.scene.control.behavior.TextAreaBehavior#contextMenuRequested(javafx.scene.input.ContextMenuEvent)},yes
FR974,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/CellFactory.java,95,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/CellFactory.java#L95,icon.setToolTipText(printedViewModel.getLocalization());,yes
FR1359,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/component/TemporalAccessorPicker.java,45,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/component/TemporalAccessorPicker.java#L45,Synchronize changes of the underlying date value with the temporalAccessorValue,no
FR30,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java,1102,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java#L1102,Ask if the user really wants to close the given database,yes
FR774,Block,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java,227,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java#L227,css: information *,no
FR506,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java,228,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java#L228,"Check if there is a default type with the same name. If so, this is a modification of that type, so remove the default one:",no
FR192,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/bibtexkeypattern/BibtexKeyPatternPanel.java,137,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/bibtexkeypattern/BibtexKeyPatternPanel.java#L137,each entry type,yes
FR947,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/logging/ApplicationInsightsLogEvent.java,97,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/logging/ApplicationInsightsLogEvent.java#L97,"TODO: Username, domain and identity should be included as in .NET version. TODO: Should check, seems that it is not included in Log4j2.",no
FR92,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java,203,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java#L203,"Already parsed via command line parameter, e.g., ""jabref.jar somefile.bib""",no
FR89,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java,149,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/JabRefGUI.java#L149,finally add things to the currently opened tab,yes
FR418,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/ExportToClipboardAction.java,90,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/ExportToClipboardAction.java#L90,"To simplify the exporter API we simply do a normal export to a temporary file, and read the contents afterwards:",no
FR1408,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/DefaultFileUpdateMonitor.java,19,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/DefaultFileUpdateMonitor.java#L19,This class monitors a set of files for changes. Upon detecting a change it notifies the registered {@link FileUpdateListener}s. Implementation based on https://stackoverflow.com/questions/16251273/can-i-watch-for-single-file-change-with-watchservice-not-the-whole-directory,no
FR675,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupDialog.java,113,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupDialog.java#L113,for AutoGroup,no
FR1417,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java,54,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java#L54,"Creates a new list in which each element is converted using the provided mapping. All changes to the underlying list are propagated to the converted list. In contrast to {@link org.fxmisc.easybind.EasyBind#map(ObservableList, Function)}, the items are converted when the are inserted (and at the initialization) instead of when they are accessed. Thus the initial CPU overhead and memory consumption is higher but the access to list items is quicker.",no
FR1437,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BackgroundTask.java,140,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BackgroundTask.java#L140,Sets the {@link Consumer} that is invoked after the task has failed with an exception. The consumer always runs on the JavaFX thread.,no
FR723,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeViewModel.java,216,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupTreeViewModel.java#L216,"/ TODO: Add undo final UndoableModifySubtree undo = new UndoableModifySubtree(getGroupTreeRoot(), node, ""Remove subgroups""); panel.getUndoManager().addEdit(undo);",no
FR64,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java,942,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java#L942,db file exists,yes
FR230,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/collab/EntryChangeViewModel.java,41,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/collab/EntryChangeViewModel.java#L41,"Another (unlikely?) possibility is that both disk and mem version has been modified in the same way. Check for this, too.",no
FR138,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/autocompleter/AutoCompleteFirstNameMode.java,17,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/autocompleter/AutoCompleteFirstNameMode.java#L17,Should only occur when preferences are set directly via preferences.put and not via setFirstnameMode,no
FR1400,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/FileDialogConfiguration.java,70,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/FileDialogConfiguration.java#L70,"Dir must be a folder, not a file",yes
FR1221,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preferences/PreferencesTab.java,30,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preferences/PreferencesTab.java#L30,This method is called when the user presses OK in the Preferences dialog. This calls the appropriate method in the ViewModel.,no
FR1159,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java,1198,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/OOBibBase.java#L1198,TODO: doesn't work for citations in footnotes/tables,no
FR440,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/SaveDatabaseAction.java,213,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/exporter/SaveDatabaseAction.java#L213,Save,yes
FR1032,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/mergeentries/MergeEntries.java,67,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/mergeentries/MergeEntries.java#L67,Constructor with optional column captions for the two entries,no
FR575,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/SimpleEditor.java,40,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/SimpleEditor.java#L40,"If content selector values are present, then we want to show the auto complete suggestions immediately on focus",no
FR1197,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preferences/PreviewTabViewModel.java,398,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/preferences/PreviewTabViewModel.java#L398,"This is called, when the user drops some PreviewLayouts on another cell in chosenListView to sort them",no
FR1416,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java,28,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/BindingsHelper.java#L28,Helper methods for javafx binding. Some methods are taken from https://bugs.openjdk.java.net/browse/JDK-8134679,no
FR1380,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/TooltipTextUtil.java,55,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/util/TooltipTextUtil.java#L55,Formats a String to multiple Texts by replacing some parts and adding font characteristics.,no
FR406,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/errorconsole/ErrorConsoleViewModel.java,71,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/errorconsole/ErrorConsoleViewModel.java#L71,Copies the given list of {@link LogEvent}s to the clipboard.,no
