ID,type,path_to_file,begin_line,link_to_comment,comment,non-information,label,Expected
879,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java,187,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java#L187,"Returns a collection of suggestion providers, which are populated from the current library.",no,FALSE,0
532,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/URLUtil.java,90,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/URLUtil.java#L90,"Try to strip the query string, if any, to get the correct suffix:",no,FALSE,0
884,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java,772,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java#L772,Set up auto completion for this database,yes,TRUE,1
511,Block,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java,235,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/icon/IconTheme.java#L235,css: file-excel *,yes,TRUE,1
451,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java,1087,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java#L1087,"Return a boolean, if the selected entry have url or doi",no,FALSE,0
592,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupDialog.java,156,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/groups/GroupDialog.java#L156,set default values (overwritten if editedGroup != null),no,FALSE,0
1010,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java,118,https://github.com/nnovielli/jabref/blob/master/src/main/java/oracle/jdbc/OracleConnection.java#L118,Auto-generated method stub,yes,TRUE,1
722,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java,406,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/JabRefFrame.java#L406,Good bye!,yes,TRUE,1
364,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/DateEditorViewModel.java,41,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/DateEditorViewModel.java#L41,We accept all kinds of dates (not just in the format specified),no,FALSE,0
921,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java,638,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java#L638,Focus field and entry in main table (async to give entry editor time to load),no,FALSE,0
957,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/DialogService.java,198,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/DialogService.java#L198,,no,FALSE,0
881,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java,376,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java#L376,"Removes the selected entries from the database @param cut If false the user will get asked if he really wants to delete the entries, and it will be localized as ""deleted"". If true the action will be localized as ""cut""",no,FALSE,0
777,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java,275,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/entryeditor/EntryEditor.java#L275,Other fields,yes,TRUE,1
627,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/logging/GuiAppender.java,15,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/logging/GuiAppender.java#L15,class is indirectly constructed by log4j,no,FALSE,0
77,Block,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/ActionFactory.java,46,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/actions/ActionFactory.java#L46,"Returns MenuItemContainer node associated with this menu item which can contain: 1. label node of type Label for displaying menu item text, 2. right node of type Label for displaying accelerator text,or an arrow if it's a Menu, 3. graphic node for displaying menu item icon, and 4. left node for displaying either radio button or check box.This is basically rewritten impl_styleableGetNode() which should not be used since it's marked as deprecated.",no,FALSE,0
261,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java,221,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/externalfiletype/ExternalFileTypes.java#L221,"If we found it, remove it from the type list:",yes,TRUE,1
896,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java,136,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java#L136,AutoCompleter used in the search bar,yes,TRUE,1
922,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java,655,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/BasePanel.java#L655,Add the listener that binds selection to state manager (TODO: should be replaced by proper JavaFX binding as soon as table is implemented in JavaFX),no,FALSE,0
338,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/Bootstrap.java,197,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/openoffice/Bootstrap.java#L197,Bootstraps the initial component context from a native UNO installation. See also <code>cppuhelper/defaultBootstrap_InitialComponentContext()</code>.,no,FALSE,0
71,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java,147,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/importer/ImportEntriesViewModel.java#L147,TODO: Remove old entry. Or... add it to a list of entries to be deleted. We only delete it after Ok is clicked. entriesToDelete.add(other.get());,no,FALSE,0
397,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/collab/ChangeScanner.java,50,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/collab/ChangeScanner.java#L50,Parse the modified file.,no,FALSE,0
210,Javadoc,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/TextInputControlBehavior.java,95,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/fieldeditors/TextInputControlBehavior.java#L95,,no,FALSE,0
710,Line,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTableDataModel.java,41,https://github.com/nnovielli/jabref/blob/master/src/main/java/org/jabref/gui/maintable/MainTableDataModel.java#L41,We need to wrap the list since otherwise sorting in the table does not work,no,FALSE,0
