feature,score
$,0.15047285947374578
0,0.010369162386356726
1,0.5181598217417325
100,0.09278961332234298
146,0.13642022637385076
16251273,0.08841870387506343
18004150,0.07817920069075537
2,0.3993180241501322
2014,0.04798532890958958
2015,0.025411589568171456
2016,0.025411589568171456
224,0.09672530405487449
23326562,0.1377534564116447
3,0.24213926788652046
330,0.12630400968433184
33445383,0.16294901721669736
4,0.3184370693240661
404,0.17539832081884596
4b,0.18262614825257806
5,0.25341426598363037
500,0.18645887952364582
5em,0.16044593023923248
6,0.027399107574758226
600,0.09322943976182291
662,0.1384015195790073
7,0.07817920069075537
70,0.17505182553629456
8,0.19981401771108484
8134679,0.11447962280546636
873661,0.18325655146048772
9,0.13699553787379115
9417836,0.18325655146048772
@cemartins,0.0537589368502286
@code,0.9706994931384644
@impl,0.14090255517466227
@inherit,1.728224797439489
@link,3.7254933900661396
@override,0.0696371239504368
@param,0.6203580553364303
@post,1.4999727132019938
@return,0.5983569155671051
@see,0.1024615992490429
a,4.3228978460752785
a4,0.16208737882308522
abbrevaition,1.2747560839533685
abbreviate,1.2146239892277302
abbreviated,0.12833950738012967
abbreviation,0.45190079737030203
abbreviations,1.253737264750547
abbriviations,0.08191664321425672
able,0.16179716100307642
aborted,0.13879640484432004
about,0.6637180774574387
above,0.35919382782014597
abstract,0.517501011887491
accelerator,0.06330470418206487
accept,0.22888908548177062
acceptable,0.9120790947186087
accepted,0.17084270603419582
acceptor,1.929477093356576
access,1.5015081153968182
accessed,0.05358637990449564
accessor,0.3587247097325842
according,0.15324073286095952
account,0.15934079934818066
action,0.05511242517429997
actions,1.3068048417502496
activate,0.15622207040847322
activated,0.11261863317531712
active,0.6193788940294246
actual,0.76229368131026
actually,0.2529312034379723
adapted,0.17616944363012846
adapter,0.21756712194768113
add,0.4256898069462244
added,0.22178868438443147
adding,1.4624820098270996
addition,0.0321619823409267
additional,0.20862191599085742
additionally,0.1278461360664427
adds,0.2404073734904127
advanced,0.29876439016627243
advised,0.09448128663231262
affects,0.12861753701495404
after,1.405154702905718
afterwards,0.24423248564378888
again,0.5323953681971645
against,0.07630957633501195
ai,0.1407852076130846
aka,0.09419631561452411
al,1.070661118203127
alert,0.9351772166094894
algorithm,0.1333814451677065
alias,0.08719977281057067
align,0.16044593023923248
alive,0.027399107574758226
all,0.4857644010311738
allow,0.21860886035639826
allowed,0.6220812498894752
allows,0.2347571482459641
almost,0.05652079208973432
alone,0.3269610063853676
already,0.8323447326787149
also,1.7592003021344418
alt,1.1154408284369404
although,0.2682254971006406
always,1.3523085617122197
an,1.766376896438348
analyzed,0.1363323737491105
anchor,0.1781303224014503
and,2.5056344557049393
anew,0.12068431503601965
animation,0.043623545318116415
annotation,0.3763199789099918
annotations,0.4057797472069832
another,0.8573635460538789
any,0.03492737374812584
anymore,0.15202750018204364
anything,0.026461634352434232
anyway,0.40236314200748746
apache,0.28324266697492645
api,0.41899144198688676
app,0.2084216560651978
apparently,0.13264391010883378
appearance,0.908063286596871
appears,0.18381377416524855
append,0.404742572665595
appended,0.13607401886727033
applicable,0.07421004883302586
application,0.2617965259439726
applications,0.6732267272535248
applying,0.14848489387584404
