feature,score
$,0.00032777813633408544
0,0.0021639748031316002
1,0.0023023334477327694
100,0.00032777813633408544
146,0.00032777813633408544
16251273,0.00032777813633408544
18004150,0.00032777813633408544
2,0.0016426403637395757
2014,0.0006559303760227449
2015,0.00032777813633408544
2016,0.00032777813633408544
224,0.00032777813633408544
23326562,0.00032777813633408544
3,0.0009844575824060672
330,0.00032777813633408544
33445383,0.00032777813633408544
4,0.0006559303760227432
404,0.00032777813633408544
4b,0.00032777813633408544
5,0.0006559303760227432
500,0.00032777813633408544
5em,0.00032777813633408544
6,0.00032777813633408544
600,0.00032777813633408544
662,0.00032777813633408544
7,0.00032777813633408544
70,0.00032777813633408544
8,0.0006559303760227432
8134679,0.00032777813633408544
873661,0.00032777813633408544
9,0.00032777813633408544
9417836,0.00032777813633408544
@cemartins,0.00032777813633408544
@code,0.0023023334477327694
@impl,0.0015091241942112536
@inherit,0.001182259164935938
@link,0.028668885283053745
@override,0.00032777813633408544
@param,0.00787856855309885
@post,0.001182259164935938
@return,0.007019165299953873
@see,0.0006559303760227432
a,0.10753760807434255
a4,0.00032777813633408544
abbrevaition,0.001182259164935938
abbreviate,0.001182259164935938
abbreviated,0.00032777813633408544
abbreviation,0.006964272386536029
abbreviations,0.004290544927829815
abbriviations,0.00032777813633408544
able,0.0006559303760227432
aborted,0.0006559303760227432
about,0.0016426403637395757
above,0.001972297680530156
abstract,0.0016426403637395757
accelerator,0.0015091241942112536
accept,0.0006559303760227432
acceptable,0.0015091241942112536
accepted,0.0006559303760227432
acceptor,0.001182259164935938
access,0.0036262786388820377
accessed,0.00032777813633408544
accessor,0.0009844575824060672
according,0.0031490650627613893
account,0.00032777813633408544
action,0.015297143930524284
actions,0.003958219899039404
activate,0.00032777813633408544
activated,0.00032777813633408544
active,0.0013133606218463448
actual,0.0023023334477327694
actually,0.0006559303760227432
adapted,0.0006559303760227432
adapter,0.0006559303760227432
add,0.020315192125728992
added,0.0047984452900989415
adding,0.004855881354311267
addition,0.0018363624530538213
additional,0.0006559303760227432
additionally,0.0009844575824060672
adds,0.0021639748031316002
advanced,0.0006559303760227432
advised,0.000984457582406069
affects,0.00032777813633408544
after,0.01062925668444917
afterwards,0.0006559303760227432
again,0.0016426403637395774
against,0.00032777813633408544
ai,0.00032777813633408544
aka,0.00032777813633408544
al,0.001182259164935938
alert,0.0029635438508074825
algorithm,0.00032777813633408544
alias,0.00032777813633408544
align,0.00032777813633408544
alive,0.00032777813633408544
all,0.03789461276526835
allow,0.0006559303760227432
