classifier,precision_no,recall_no,f1-score_no,support_no,precision_yes,recall_yes,f1-score_yes,support_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg,support_macro avg,precision_weighted avg,recall_weighted avg,f1-score_weighted avg,support_weighted avg,matthews_corrcoef
BernoulliNB,0.91,0.69,0.79,743,0.53,0.84,0.65,304,0.74,0.72,0.77,0.72,1047,0.8,0.74,0.75,1047,0.49
LinearSVC,0.86,0.89,0.87,743,0.71,0.63,0.67,304,0.82,0.78,0.76,0.77,1047,0.81,0.82,0.82,1047,0.55
SVC,0.83,0.96,0.89,743,0.83,0.52,0.64,304,0.83,0.83,0.74,0.76,1047,0.83,0.83,0.82,1047,0.56
MLPClassifier,0.85,0.87,0.86,743,0.67,0.63,0.65,304,0.8,0.76,0.75,0.75,1047,0.8,0.8,0.8,1047,0.51
RandomForestClassifier,0.85,0.94,0.9,743,0.82,0.6,0.69,304,0.85,0.83,0.77,0.79,1047,0.84,0.85,0.84,1047,0.61
AdaBoostClassifier,0.88,0.9,0.89,743,0.74,0.71,0.72,304,0.84,0.81,0.8,0.81,1047,0.84,0.84,0.84,1047,0.61
BaggingClassifier,0.87,0.93,0.9,743,0.8,0.64,0.71,304,0.85,0.83,0.79,0.81,1047,0.85,0.85,0.84,1047,0.62
ExtraTreesClassifier,0.83,0.95,0.88,743,0.81,0.52,0.63,304,0.82,0.82,0.73,0.76,1047,0.82,0.82,0.81,1047,0.55
GradientBoostingClassifier,0.87,0.93,0.9,743,0.79,0.65,0.72,304,0.85,0.83,0.79,0.81,1047,0.85,0.85,0.85,1047,0.62
LogisticRegression,0.85,0.94,0.89,743,0.81,0.6,0.69,304,0.84,0.83,0.77,0.79,1047,0.84,0.84,0.83,1047,0.6
DecisionTreeClassifier,0.87,0.87,0.87,743,0.68,0.69,0.69,304,0.82,0.78,0.78,0.78,1047,0.82,0.82,0.82,1047,0.56
SGDClassifier,0.87,0.89,0.88,743,0.71,0.67,0.69,304,0.83,0.79,0.78,0.78,1047,0.82,0.83,0.82,1047,0.57
