classifier,precision_no,recall_no,f1-score_no,precision_yes,recall_yes,f1-score_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg,matthews_corrcoef
BernoulliNB,0.89,0.73,0.8,0.54,0.77,0.63,0.74,0.71,0.75,0.71,0.46
ComplementNB,0.77,0.98,0.86,0.88,0.29,0.43,0.78,0.82,0.64,0.65,0.42
MultinomialNB,0.75,0.99,0.86,0.94,0.2,0.33,0.76,0.85,0.6,0.59,0.37
LinearSVC,0.86,0.86,0.86,0.65,0.67,0.66,0.8,0.76,0.76,0.76,0.52
SVC,0.85,0.83,0.84,0.61,0.65,0.63,0.78,0.73,0.74,0.74,0.48
MLPClassifier,0.84,0.88,0.86,0.67,0.61,0.64,0.8,0.76,0.74,0.75,0.5
RandomForestClassifier,0.85,0.94,0.89,0.8,0.6,0.68,0.84,0.83,0.77,0.79,0.59
AdaBoostClassifier,0.87,0.87,0.87,0.69,0.69,0.69,0.82,0.78,0.78,0.78,0.56
BaggingClassifier,0.86,0.91,0.88,0.75,0.63,0.69,0.83,0.8,0.77,0.79,0.57
ExtraTreesClassifier,0.83,0.95,0.89,0.83,0.53,0.65,0.83,0.83,0.74,0.77,0.57
GradientBoostingClassifier,0.85,0.94,0.89,0.79,0.61,0.69,0.84,0.82,0.77,0.79,0.6
LogisticRegression,0.83,0.95,0.89,0.81,0.53,0.64,0.83,0.82,0.74,0.76,0.55
DecisionTreeClassifier,0.85,0.86,0.86,0.65,0.63,0.64,0.8,0.75,0.75,0.75,0.5
SGDClassifier,0.72,0.87,0.79,0.37,0.19,0.26,0.67,0.55,0.53,0.52,0.08
