classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
BernoulliNB,0.92,0.69,0.78,0.53,0.85,0.65,0.73,0.72,0.77,0.72,0.49
LinearSVC,0.88,0.88,0.88,0.71,0.7,0.7,0.83,0.79,0.79,0.79,0.58
SVC,0.83,0.92,0.87,0.75,0.54,0.62,0.81,0.79,0.73,0.75,0.51
MLPClassifier,0.85,0.87,0.86,0.67,0.63,0.65,0.8,0.76,0.75,0.76,0.52
RandomForestClassifier,0.86,0.94,0.9,0.81,0.62,0.7,0.85,0.83,0.78,0.8,0.61
AdaBoostClassifier,0.88,0.9,0.89,0.75,0.7,0.72,0.84,0.81,0.8,0.81,0.62
BaggingClassifier,0.86,0.94,0.9,0.8,0.63,0.7,0.85,0.83,0.78,0.8,0.61
ExtraTreesClassifier,0.83,0.94,0.88,0.79,0.54,0.64,0.83,0.81,0.74,0.76,0.55
GradientBoostingClassifier,0.87,0.93,0.89,0.78,0.65,0.71,0.85,0.82,0.79,0.8,0.61
LogisticRegression,0.85,0.9,0.87,0.72,0.62,0.66,0.82,0.79,0.76,0.77,0.54
DecisionTreeClassifier,0.86,0.86,0.86,0.65,0.66,0.66,0.8,0.76,0.76,0.76,0.52
SGDClassifier,0.87,0.87,0.87,0.68,0.68,0.68,0.81,0.78,0.77,0.77,0.55
Voting,0.87,0.93,0.9,0.79,0.65,0.71,0.85,0.83,0.79,0.81,0.62
