classifier,precision_no,recall_no,f1-score_no,precision_yes,recall_yes,f1-score_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg,matthews_corrcoef
BernoulliNB,0.71,1.0,0.83,0.0,0.0,0.0,0.71,0.35,0.5,0.42,0.0
ComplementNB,0.81,0.7,0.75,0.45,0.59,0.51,0.67,0.63,0.65,0.63,0.27
MultinomialNB,0.71,1.0,0.83,1.0,0.02,0.05,0.72,0.86,0.51,0.44,0.13
LinearSVC,0.78,0.95,0.86,0.76,0.35,0.47,0.78,0.77,0.65,0.67,0.4
SVC,0.81,0.9,0.85,0.65,0.47,0.55,0.77,0.73,0.68,0.7,0.41
MLPClassifier,0.81,0.89,0.85,0.66,0.5,0.57,0.78,0.74,0.7,0.71,0.43
RandomForestClassifier,0.84,0.88,0.86,0.67,0.6,0.63,0.8,0.75,0.74,0.75,0.49
AdaBoostClassifier,0.86,0.92,0.89,0.76,0.62,0.68,0.83,0.81,0.77,0.79,0.58
BaggingClassifier,0.84,0.89,0.87,0.69,0.6,0.64,0.81,0.77,0.74,0.75,0.51
ExtraTreesClassifier,0.83,0.86,0.85,0.63,0.58,0.61,0.78,0.73,0.72,0.73,0.46
GradientBoostingClassifier,0.85,0.91,0.88,0.74,0.6,0.66,0.82,0.79,0.76,0.77,0.55
LogisticRegression,0.8,0.94,0.86,0.73,0.42,0.54,0.79,0.76,0.68,0.7,0.44
DecisionTreeClassifier,0.84,0.86,0.85,0.63,0.6,0.62,0.78,0.74,0.73,0.73,0.47
SGDClassifier,0.81,0.89,0.85,0.64,0.49,0.56,0.77,0.73,0.69,0.7,0.41
