classifier,precision_no,recall_no,f1-score_no,support_no,precision_yes,recall_yes,f1-score_yes,support_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg,support_macro avg,precision_weighted avg,recall_weighted avg,f1-score_weighted avg,support_weighted avg
BernoulliNB,0.89,0.77,0.82,743,0.57,0.76,0.65,304,0.77,0.73,0.76,0.74,1047,0.8,0.77,0.77,1047
ComplementNB,0.79,0.95,0.86,743,0.74,0.38,0.5,304,0.78,0.77,0.66,0.68,1047,0.77,0.78,0.76,1047
MultinomialNB,0.76,0.99,0.86,743,0.92,0.21,0.35,304,0.77,0.84,0.6,0.6,1047,0.8,0.77,0.71,1047
LinearSVC,0.82,0.9,0.86,743,0.68,0.51,0.58,304,0.79,0.75,0.71,0.72,1047,0.78,0.79,0.78,1047
SVC,0.78,0.98,0.87,743,0.87,0.33,0.47,304,0.79,0.82,0.65,0.67,1047,0.81,0.79,0.75,1047
MLPClassifier,0.83,0.86,0.85,743,0.63,0.57,0.6,304,0.78,0.73,0.71,0.72,1047,0.77,0.78,0.77,1047
RandomForestClassifier,0.84,0.9,0.87,743,0.71,0.57,0.63,304,0.81,0.77,0.74,0.75,1047,0.8,0.81,0.8,1047
AdaBoostClassifier,0.83,0.85,0.84,743,0.61,0.58,0.59,304,0.77,0.72,0.71,0.72,1047,0.77,0.77,0.77,1047
BaggingClassifier,0.83,0.89,0.86,743,0.67,0.55,0.61,304,0.79,0.75,0.72,0.73,1047,0.78,0.79,0.79,1047
ExtraTreesClassifier,0.85,0.91,0.88,743,0.73,0.6,0.66,304,0.82,0.79,0.75,0.77,1047,0.81,0.82,0.81,1047
GradientBoostingClassifier,0.8,0.95,0.87,743,0.78,0.41,0.54,304,0.8,0.79,0.68,0.7,1047,0.79,0.8,0.77,1047
Voting,0.85,0.9,0.87,743,0.71,0.62,0.67,304,0.82,0.78,0.76,0.77,1047,0.81,0.82,0.81,1047
