classifier,precision_no,recall_no,f1-score_no,precision_yes,recall_yes,f1-score_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg
BernoulliNB,0.89,0.76,0.82,0.56,0.76,0.65,0.76,0.73,0.76,0.73
ComplementNB,0.79,0.95,0.86,0.75,0.38,0.5,0.78,0.77,0.66,0.68
MultinomialNB,0.76,0.99,0.86,0.93,0.22,0.36,0.77,0.84,0.61,0.61
LinearSVC,0.81,0.9,0.85,0.67,0.49,0.56,0.78,0.74,0.69,0.71
SVC,0.78,0.98,0.87,0.89,0.33,0.48,0.79,0.84,0.65,0.67
MLPClassifier,0.83,0.87,0.85,0.64,0.57,0.6,0.78,0.74,0.72,0.73
RandomForestClassifier,0.84,0.91,0.87,0.72,0.57,0.63,0.81,0.78,0.74,0.75
AdaBoostClassifier,0.85,0.85,0.85,0.63,0.64,0.64,0.79,0.74,0.75,0.75
BaggingClassifier,0.83,0.88,0.85,0.65,0.55,0.6,0.78,0.74,0.72,0.72
ExtraTreesClassifier,0.84,0.9,0.87,0.7,0.57,0.63,0.8,0.77,0.73,0.75
GradientBoostingClassifier,0.8,0.96,0.87,0.8,0.4,0.54,0.8,0.8,0.68,0.7
Voting,0.81,0.94,0.87,0.77,0.47,0.59,0.81,0.79,0.71,0.73
