classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
BernoulliNB,0.91,0.69,0.78,0.54,0.85,0.65,0.74,0.73,0.77,0.72,0.49
LinearSVC,0.88,0.86,0.87,0.68,0.72,0.7,0.82,0.78,0.79,0.78,0.57
SVC,0.83,0.9,0.87,0.71,0.59,0.64,0.81,0.77,0.74,0.75,0.51
MLPClassifier,0.85,0.87,0.86,0.67,0.64,0.65,0.8,0.76,0.76,0.75,0.51
RandomForestClassifier,0.85,0.94,0.89,0.81,0.63,0.7,0.85,0.83,0.78,0.8,0.61
AdaBoostClassifier,0.86,0.89,0.87,0.71,0.67,0.69,0.82,0.79,0.78,0.78,0.57
BaggingClassifier,0.86,0.92,0.89,0.77,0.66,0.71,0.84,0.82,0.79,0.8,0.61
ExtraTreesClassifier,0.83,0.94,0.88,0.81,0.56,0.65,0.83,0.82,0.75,0.77,0.57
GradientBoostingClassifier,0.86,0.9,0.88,0.74,0.66,0.69,0.83,0.8,0.78,0.78,0.58
LogisticRegression,0.85,0.89,0.87,0.71,0.65,0.67,0.81,0.78,0.77,0.77,0.55
DecisionTreeClassifier,0.86,0.86,0.86,0.67,0.67,0.66,0.81,0.76,0.77,0.76,0.53
SGDClassifier,0.87,0.87,0.87,0.69,0.7,0.69,0.82,0.78,0.78,0.78,0.57
Voting,0.86,0.92,0.89,0.77,0.65,0.7,0.84,0.81,0.78,0.8,0.6
