classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
BernoulliNB,0.9,0.7,0.79,0.52,0.82,0.64,0.73,0.71,0.76,0.71,0.47
LinearSVC,0.82,0.93,0.87,0.74,0.51,0.6,0.81,0.78,0.72,0.74,0.5
SVC,0.8,0.96,0.88,0.82,0.42,0.56,0.81,0.81,0.69,0.72,0.49
MLPClassifier,0.82,0.91,0.86,0.7,0.5,0.58,0.79,0.76,0.71,0.72,0.47
RandomForestClassifier,0.76,0.98,0.86,0.86,0.25,0.39,0.77,0.81,0.62,0.62,0.38
AdaBoostClassifier,0.81,0.96,0.88,0.81,0.45,0.58,0.81,0.81,0.7,0.73,0.5
BaggingClassifier,0.77,0.97,0.86,0.81,0.28,0.41,0.77,0.79,0.62,0.64,0.38
ExtraTreesClassifier,0.77,0.96,0.85,0.74,0.3,0.43,0.77,0.76,0.63,0.64,0.37
GradientBoostingClassifier,0.75,0.98,0.85,0.8,0.21,0.33,0.76,0.78,0.59,0.59,0.32
LogisticRegression,0.81,0.97,0.88,0.86,0.42,0.57,0.81,0.84,0.7,0.72,0.51
DecisionTreeClassifier,0.76,0.88,0.82,0.52,0.32,0.39,0.72,0.64,0.6,0.61,0.24
SGDClassifier,0.86,0.89,0.88,0.7,0.66,0.68,0.82,0.78,0.77,0.78,0.56
Voting,0.8,0.98,0.88,0.88,0.39,0.55,0.81,0.84,0.69,0.71,0.5
