classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
BernoulliNB,0.89,0.7,0.78,0.52,0.78,0.62,0.72,0.7,0.74,0.7,0.44
LinearSVC,0.86,0.88,0.86,0.69,0.63,0.65,0.81,0.77,0.76,0.76,0.53
SVC,0.83,0.92,0.88,0.75,0.55,0.63,0.81,0.79,0.74,0.75,0.52
MLPClassifier,0.87,0.89,0.88,0.72,0.66,0.68,0.82,0.79,0.78,0.78,0.57
RandomForestClassifier,0.85,0.9,0.87,0.71,0.6,0.64,0.81,0.78,0.75,0.75,0.52
AdaBoostClassifier,0.86,0.9,0.88,0.72,0.65,0.68,0.82,0.79,0.77,0.78,0.57
BaggingClassifier,0.86,0.92,0.89,0.77,0.64,0.69,0.84,0.81,0.78,0.79,0.59
ExtraTreesClassifier,0.84,0.9,0.87,0.72,0.59,0.64,0.81,0.78,0.75,0.76,0.52
GradientBoostingClassifier,0.85,0.92,0.88,0.77,0.62,0.68,0.83,0.81,0.77,0.78,0.58
LogisticRegression,0.86,0.89,0.87,0.72,0.63,0.66,0.82,0.79,0.76,0.77,0.55
DecisionTreeClassifier,0.84,0.83,0.83,0.61,0.63,0.61,0.77,0.73,0.73,0.72,0.45
SGDClassifier,0.84,0.83,0.83,0.58,0.6,0.58,0.76,0.71,0.71,0.7,0.42
Voting,0.86,0.92,0.89,0.75,0.63,0.69,0.83,0.81,0.77,0.79,0.58
