classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
BernoulliNB,0.88,0.66,0.76,0.48,0.78,0.6,0.7,0.68,0.72,0.68,0.4
LinearSVC,0.79,0.97,0.87,0.83,0.38,0.52,0.8,0.81,0.67,0.7,0.47
SVC,0.79,0.96,0.87,0.78,0.38,0.51,0.79,0.79,0.67,0.69,0.44
MLPClassifier,0.78,0.95,0.86,0.74,0.34,0.47,0.78,0.76,0.65,0.66,0.39
RandomForestClassifier,0.8,0.96,0.87,0.79,0.41,0.54,0.8,0.8,0.68,0.71,0.47
AdaBoostClassifier,0.78,0.98,0.87,0.86,0.32,0.46,0.79,0.82,0.65,0.66,0.43
BaggingClassifier,0.79,0.95,0.86,0.75,0.39,0.52,0.79,0.77,0.67,0.69,0.43
ExtraTreesClassifier,0.79,0.96,0.86,0.78,0.37,0.5,0.79,0.78,0.66,0.68,0.43
GradientBoostingClassifier,0.78,0.96,0.86,0.77,0.32,0.45,0.78,0.78,0.64,0.65,0.39
LogisticRegression,0.79,0.97,0.87,0.82,0.37,0.51,0.79,0.81,0.67,0.69,0.45
DecisionTreeClassifier,0.78,0.91,0.84,0.62,0.37,0.46,0.75,0.7,0.64,0.65,0.33
SGDClassifier,0.75,0.99,0.86,0.94,0.2,0.33,0.76,0.85,0.6,0.59,0.36
Voting,0.79,0.96,0.87,0.79,0.36,0.49,0.79,0.79,0.66,0.68,0.43
