classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
DummyClassifier,0.7,1.0,0.82,0.0,0.0,0.0,0.7,0.35,0.5,0.41,0.0
BernoulliNB,0.89,0.7,0.78,0.53,0.81,0.64,0.73,0.71,0.75,0.71,0.46
ComplementNB,0.79,0.9,0.84,0.65,0.44,0.52,0.76,0.72,0.67,0.68,0.39
MultinomialNB,0.75,0.99,0.85,0.86,0.24,0.37,0.76,0.8,0.61,0.61,0.37
LinearSVC,0.81,0.9,0.85,0.68,0.5,0.57,0.78,0.75,0.7,0.71,0.45
SVC,0.77,0.98,0.86,0.89,0.33,0.47,0.79,0.83,0.66,0.67,0.45
MLPClassifier,0.83,0.85,0.84,0.63,0.6,0.6,0.77,0.73,0.72,0.72,0.45
RandomForestClassifier,0.83,0.9,0.86,0.71,0.58,0.63,0.8,0.77,0.74,0.75,0.51
AdaBoostClassifier,0.83,0.84,0.83,0.62,0.61,0.6,0.76,0.73,0.72,0.71,0.45
BaggingClassifier,0.84,0.87,0.86,0.68,0.62,0.64,0.8,0.76,0.75,0.75,0.51
ExtraTreesClassifier,0.83,0.9,0.86,0.71,0.58,0.63,0.8,0.77,0.74,0.75,0.51
GradientBoostingClassifier,0.8,0.95,0.87,0.79,0.44,0.55,0.8,0.79,0.7,0.71,0.48
LogisticRegression,0.76,0.98,0.86,0.87,0.28,0.42,0.77,0.82,0.63,0.64,0.41
DecisionTreeClassifier,0.84,0.81,0.82,0.59,0.65,0.61,0.76,0.71,0.73,0.72,0.44
SGDClassifier,0.82,0.82,0.82,0.59,0.6,0.59,0.75,0.71,0.71,0.71,0.42
Voting,0.84,0.88,0.86,0.69,0.62,0.65,0.8,0.77,0.75,0.76,0.52
