classifier,precision_no,recall_no,f1-score_no,support_no,precision_yes,recall_yes,f1-score_yes,support_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg,support_macro avg,precision_weighted avg,recall_weighted avg,f1-score_weighted avg,support_weighted avg,matthews_corrcoef
DummyClassifier,0.71,1.0,0.83,743,0.0,0.0,0.0,304,0.71,0.35,0.5,0.42,1047,0.5,0.71,0.59,1047,0.0
BernoulliNB,0.9,0.72,0.8,743,0.54,0.81,0.65,304,0.75,0.72,0.77,0.73,1047,0.8,0.75,0.76,1047,0.49
ComplementNB,0.79,0.9,0.84,743,0.63,0.42,0.51,304,0.76,0.71,0.66,0.67,1047,0.74,0.76,0.74,1047,0.37
MultinomialNB,0.76,0.99,0.86,743,0.9,0.24,0.38,304,0.77,0.83,0.61,0.62,1047,0.8,0.77,0.72,1047,0.39
LinearSVC,0.82,0.9,0.86,743,0.68,0.5,0.58,304,0.79,0.75,0.7,0.72,1047,0.78,0.79,0.78,1047,0.45
SVC,0.78,0.98,0.87,743,0.89,0.31,0.46,304,0.79,0.83,0.65,0.67,1047,0.81,0.79,0.75,1047,0.44
MLPClassifier,0.84,0.86,0.85,743,0.63,0.59,0.61,304,0.78,0.73,0.72,0.73,1047,0.78,0.78,0.78,1047,0.46
RandomForestClassifier,0.83,0.92,0.87,743,0.72,0.54,0.62,304,0.81,0.78,0.73,0.75,1047,0.8,0.81,0.8,1047,0.5
AdaBoostClassifier,0.86,0.82,0.84,743,0.6,0.67,0.64,304,0.78,0.73,0.75,0.74,1047,0.78,0.78,0.78,1047,0.48
BaggingClassifier,0.82,0.89,0.85,743,0.66,0.51,0.57,304,0.78,0.74,0.7,0.71,1047,0.77,0.78,0.77,1047,0.43
ExtraTreesClassifier,0.83,0.91,0.87,743,0.71,0.55,0.62,304,0.8,0.77,0.73,0.74,1047,0.79,0.8,0.79,1047,0.49
GradientBoostingClassifier,0.79,0.96,0.87,743,0.8,0.38,0.52,304,0.79,0.79,0.67,0.69,1047,0.79,0.79,0.77,1047,0.45
LogisticRegression,0.77,0.99,0.87,743,0.9,0.28,0.42,304,0.78,0.84,0.63,0.64,1047,0.81,0.78,0.74,1047,0.42
DecisionTreeClassifier,0.84,0.82,0.83,743,0.58,0.62,0.6,304,0.76,0.71,0.72,0.71,1047,0.76,0.76,0.76,1047,0.43
SGDClassifier,0.83,0.84,0.84,743,0.6,0.57,0.58,304,0.76,0.71,0.71,0.71,1047,0.76,0.76,0.76,1047,0.42
Voting,0.85,0.9,0.87,743,0.7,0.6,0.65,304,0.81,0.77,0.75,0.76,1047,0.8,0.81,0.81,1047,0.52
