classifier,precision_no,recall_no,f1-score_no,precision_yes,recall_yes,f1-score_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg,matthews_corrcoef
DummyClassifier,0.71,1.0,0.83,0.0,0.0,0.0,0.71,0.35,0.5,0.42,0.0
BernoulliNB,0.9,0.72,0.8,0.54,0.81,0.65,0.75,0.72,0.77,0.73,0.49
ComplementNB,0.79,0.9,0.84,0.63,0.42,0.51,0.76,0.71,0.66,0.67,0.37
MultinomialNB,0.76,0.99,0.86,0.9,0.24,0.38,0.77,0.83,0.61,0.62,0.39
LinearSVC,0.82,0.9,0.86,0.68,0.5,0.58,0.79,0.75,0.7,0.72,0.45
SVC,0.78,0.98,0.87,0.89,0.31,0.46,0.79,0.83,0.65,0.67,0.44
MLPClassifier,0.84,0.86,0.85,0.63,0.59,0.61,0.78,0.73,0.72,0.73,0.46
RandomForestClassifier,0.83,0.92,0.87,0.72,0.54,0.62,0.81,0.78,0.73,0.75,0.5
AdaBoostClassifier,0.86,0.82,0.84,0.6,0.67,0.64,0.78,0.73,0.75,0.74,0.48
BaggingClassifier,0.82,0.89,0.85,0.66,0.51,0.57,0.78,0.74,0.7,0.71,0.43
ExtraTreesClassifier,0.83,0.91,0.87,0.71,0.55,0.62,0.8,0.77,0.73,0.74,0.49
GradientBoostingClassifier,0.79,0.96,0.87,0.8,0.38,0.52,0.79,0.79,0.67,0.69,0.45
LogisticRegression,0.77,0.99,0.87,0.9,0.28,0.42,0.78,0.84,0.63,0.64,0.42
DecisionTreeClassifier,0.84,0.82,0.83,0.58,0.62,0.6,0.76,0.71,0.72,0.71,0.43
SGDClassifier,0.83,0.84,0.84,0.6,0.57,0.58,0.76,0.71,0.71,0.71,0.42
Voting,0.85,0.9,0.87,0.7,0.6,0.65,0.81,0.77,0.75,0.76,0.52
