classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
DummyClassifier,0.71,1.0,0.83,0.0,0.0,0.0,0.71,0.35,0.5,0.41,0.0
BernoulliNB,0.9,0.72,0.8,0.54,0.8,0.65,0.74,0.72,0.76,0.72,0.48
ComplementNB,0.8,0.89,0.84,0.62,0.44,0.51,0.76,0.71,0.67,0.68,0.37
MultinomialNB,0.76,0.99,0.86,0.89,0.24,0.37,0.77,0.83,0.61,0.61,0.38
LinearSVC,0.82,0.91,0.86,0.71,0.52,0.59,0.8,0.77,0.71,0.73,0.48
SVC,0.78,0.98,0.87,0.89,0.31,0.45,0.79,0.84,0.65,0.66,0.44
MLPClassifier,0.84,0.86,0.85,0.63,0.59,0.6,0.78,0.73,0.72,0.73,0.46
RandomForestClassifier,0.84,0.91,0.87,0.73,0.57,0.64,0.81,0.78,0.74,0.76,0.52
AdaBoostClassifier,0.82,0.88,0.85,0.65,0.53,0.57,0.78,0.74,0.7,0.71,0.44
BaggingClassifier,0.83,0.88,0.85,0.66,0.57,0.61,0.79,0.75,0.72,0.73,0.47
ExtraTreesClassifier,0.84,0.91,0.87,0.73,0.57,0.64,0.81,0.79,0.74,0.76,0.52
GradientBoostingClassifier,0.81,0.95,0.87,0.79,0.43,0.55,0.8,0.8,0.69,0.71,0.48
LogisticRegression,0.77,0.98,0.86,0.86,0.28,0.41,0.78,0.82,0.63,0.63,0.4
DecisionTreeClassifier,0.85,0.84,0.84,0.62,0.62,0.61,0.78,0.73,0.73,0.73,0.46
SGDClassifier,0.84,0.84,0.84,0.61,0.6,0.6,0.77,0.72,0.72,0.72,0.45
Voting,0.85,0.9,0.88,0.72,0.62,0.67,0.82,0.79,0.76,0.77,0.55
