classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
DummyClassifier,0.71,1.0,0.83,0.0,0.0,0.0,0.71,0.35,0.5,0.41,0.0
BernoulliNB,0.9,0.72,0.8,0.54,0.8,0.65,0.74,0.72,0.76,0.72,0.48
ComplementNB,0.8,0.89,0.84,0.62,0.44,0.51,0.76,0.71,0.67,0.68,0.37
MultinomialNB,0.76,0.99,0.86,0.89,0.24,0.37,0.77,0.83,0.61,0.61,0.38
LinearSVC,0.8,0.94,0.86,0.74,0.43,0.54,0.79,0.77,0.68,0.7,0.44
SVC (rbf),0.78,0.98,0.87,0.89,0.31,0.45,0.79,0.84,0.65,0.66,0.44
SVC (poly degree=2),0.78,0.98,0.87,0.89,0.31,0.45,0.79,0.83,0.65,0.66,0.43
MLPClassifier,0.83,0.86,0.85,0.63,0.57,0.6,0.78,0.73,0.72,0.72,0.45
RandomForestClassifier,0.83,0.91,0.87,0.72,0.55,0.62,0.81,0.78,0.73,0.75,0.51
AdaBoostClassifier,0.82,0.88,0.85,0.65,0.53,0.57,0.78,0.74,0.7,0.71,0.44
BaggingClassifier,0.83,0.89,0.85,0.67,0.55,0.6,0.79,0.75,0.72,0.73,0.46
ExtraTreesClassifier,0.84,0.92,0.88,0.74,0.58,0.65,0.82,0.79,0.75,0.76,0.54
GradientBoostingClassifier,0.81,0.95,0.87,0.78,0.43,0.55,0.8,0.79,0.69,0.71,0.47
LogisticRegression,0.77,0.98,0.86,0.86,0.28,0.41,0.78,0.82,0.63,0.63,0.4
DecisionTreeClassifier,0.84,0.83,0.84,0.61,0.62,0.61,0.77,0.73,0.72,0.72,0.45
SGDClassifier,0.81,0.92,0.86,0.72,0.48,0.57,0.79,0.76,0.7,0.72,0.46
VotingW,0.86,0.87,0.86,0.67,0.64,0.66,0.81,0.77,0.76,0.76,0.52
VotingN,0.85,0.89,0.87,0.7,0.62,0.66,0.81,0.77,0.75,0.76,0.53
